COM	time	Objecttyp	Order Nr(A)
GEN			
12600	176	176	
13200	177	177	
13200	178	178	
13200	179	179	
13200	180	180	
13200	181	181	
13200	182	182	
13200	183	183	
13200	184	184	
13800	185	185	
13800	186	186	
13800	187	187	
13800	188	188	
13800	189	189	
13800	190	190	
13800	191	191	
13800	192	192	
14400	193	193	
14400	194	194	
14400	195	195	
14400	196	196	
14400	197	197	
14400	198	198	
14400	199	199	
14400	200	200	
15000	201	201	
15000	202	202	
15000	203	203	
15000	204	204	
15000	205	205	
15000	206	206	
15000	207	207	
15000	208	208	
15600	209	209	
15600	210	210	
15600	211	211	
15600	212	212	
15600	213	213	
15600	214	214	
15600	215	215	
15600	216	216	
16200	217	217	
16200	218	218	
16200	219	219	
16200	220	220	
16200	221	221	
16200	222	222	
16200	223	223	
16200	224	224	
16800	225	225	
16800	226	226	
16800	227	227	
16800	228	228	
16800	229	229	
16800	230	230	
16800	231	231	
16800	232	232	
17400	233	233	
17400	234	234	
17400	235	235	
17400	236	236	
17400	237	237	
17400	238	238	
17400	239	239	
17400	240	240	
18000	241	241	
18000	242	242	
18000	243	243	
18000	244	244	
18000	245	245	
18000	246	246	
18000	247	247	
18000	248	248	
18600	249	249	
18600	250	250	
18600	251	251	
18600	252	252	
18600	253	253	
18600	254	254	
18600	255	255	
18600	256	256	
19200	257	257	
19200	258	258	
19200	259	259	
19200	260	260	
19200	261	261	
19200	262	262	
19200	263	263	
19200	264	264	
19800	265	265	
19800	266	266	
19800	267	267	
19800	268	268	
19800	269	269	
19800	270	270	
19800	271	271	
19800	272	272	
20400	273	273	
20400	274	274	
20400	275	275	
20400	276	276	
20400	277	277	
20400	278	278	
20400	279	279	
20400	280	280	
21000	281	281	
21000	282	282	
21000	283	283	
21000	284	284	
21000	285	285	
21000	286	286	
21000	287	287	
21000	288	288	
21600	289	289	
21600	290	290	
21600	291	291	
21600	292	292	
21600	293	293	
21600	294	294	
21600	295	295	
21600	296	296	
22200	297	297	
22200	298	298	
22200	299	299	
22200	300	300	
22200	301	301	
22200	302	302	
22200	303	303	
22200	304	304	
22800	305	305	
22800	306	306	
22800	307	307	
22800	308	308	
22800	309	309	
22800	310	310	
22800	311	311	
22800	312	312	
23400	313	313	
23400	314	314	
23400	315	315	
23400	316	316	
23400	317	317	
23400	318	318	
23400	319	319	
23400	320	320	
24000	321	321	
24000	322	322	
24000	323	323	
24000	324	324	
24000	325	325	
24000	326	326	
24000	327	327	
24000	328	328	
24600	329	329	
24600	330	330	
24600	331	331	
24600	332	332	
24600	333	333	
24600	334	334	
24600	335	335	
24600	336	336	
25200	337	337	
25200	338	338	
25200	339	339	
25200	340	340	
25200	341	341	
25200	342	342	
25200	343	343	
25200	344	344	
25800	345	345	
25800	346	346	
25800	347	347	
25800	348	348	
25800	349	349	
25800	350	350	
25800	351	351	
25800	352	352	
26400	353	353	
26400	354	354	
26400	355	355	
26400	356	356	
26400	357	357	
26400	358	358	
26400	359	359	
26400	360	360	
27000	361	361	
27000	362	362	
27000	363	363	
27000	364	364	
27000	365	365	
27000	366	366	
27000	367	367	
27000	368	368	
27600	369	369	
27600	370	370	
27600	371	371	
27600	372	372	
27600	373	373	
27600	374	374	
27600	375	375	
27600	376	376	
28200	377	377	
28200	378	378	
28200	379	379	
28200	380	380	
28200	381	381	
28200	382	382	
28200	383	383	
28200	384	384	
