Time,object,time in min,Total time spent
1261,1,21,1261
1283,2,21,1283
1381,4,23,1381
1425,5,23,1425
1495,3,24,1495
1524,9,25,1524
1630,6,27,1630
1771,7,29,1771
1792,8,29,1792
1856,12,30,1856
1992,13,33,1392
2030,11,33,1430
2069,14,34,1469
2075,10,34,1475
2220,15,37,1620
2299,16,38,1699
2313,17,38,1713
2368,20,39,1768
2412,18,40,1812
2567,22,42,1967
2658,23,44,1458
2681,21,44,1481
2697,19,44,1497
2821,24,47,1621
2861,29,47,1661
2883,25,48,1683
2988,28,49,1788
3017,26,50,1817
3050,31,50,1850
3115,27,51,1915
3123,30,52,1323
3167,34,52,1367
3227,32,53,1427
3346,35,55,1546
3360,33,56,1560
3513,37,58,1713
3537,36,58,1737
3688,38,61,1888
3742,40,62,1942
3799,39,63,1999
3964,42,66,1564
3971,41,66,1571
4058,44,67,1658
4212,43,70,1812
4286,45,71,1886
4377,46,72,1977
4418,48,73,2018
4491,50,74,2091
4542,47,75,2142
4615,49,76,2215
4714,52,78,1714
4868,54,81,1868
4917,53,81,1917
4964,51,82,1964
5169,58,86,2169
5170,55,86,2170
5233,57,87,2233
5265,56,87,2265
5365,61,89,2365
5455,60,90,2455
5506,63,91,1906
5553,65,92,1953
5565,62,92,1965
5584,64,93,1984
5659,59,94,2059
5775,69,96,2175
5794,67,96,2194
5914,66,98,2314
5931,68,98,2331
6073,70,101,2473
6111,71,101,1911
6212,72,103,2012
6214,73,103,2014
6352,75,105,2152
6387,74,106,2187
6411,76,106,2211
6535,78,108,2335
6562,77,109,2362
6693,79,111,2493
6782,81,113,2582
6794,80,113,1994
6810,82,113,2010
6853,84,114,2053
6961,87,116,2161
6986,83,116,2186
7027,86,117,2227
7034,85,117,2234
7126,88,118,2326
7126,92,118,2326
7247,90,120,2447
7253,93,120,1853
7295,89,121,1895
7379,91,122,1979
7387,94,123,1987
7485,96,124,2085
7633,95,127,2233
7683,97,128,2283
7727,100,128,2327
7756,98,129,2356
7903,101,131,2503
7939,99,132,1939
7973,103,132,1973
8044,104,134,2044
8069,102,134,2069
8218,107,136,2218
8391,105,139,2391
8445,106,140,2445
8453,108,140,2453
8477,112,141,2477
8553,109,142,2553
8616,111,143,2016
8705,114,145,2105
8789,116,146,2189
8845,113,147,2245
8958,110,149,2358
9049,115,150,2449
9087,119,151,2487
9118,118,151,2518
9128,120,152,2528
9200,117,153,2600
9246,125,154,2046
9346,123,155,2146
9364,121,156,2164
9368,122,156,2168
9448,124,157,2248
9487,131,158,2287
9516,129,158,2316
9544,128,159,2344
9687,130,161,2487
9712,134,161,2512
9760,127,162,1960
9770,126,162,1970
9899,133,164,2099
9914,132,165,2114
9922,135,165,2122
9950,136,165,2150
10071,137,167,2271
10101,138,168,2301
10106,142,168,2306
10115,141,168,2315
10214,139,170,1814
10228,140,170,1828
10278,144,171,1878
10385,149,173,1985
10406,145,173,2006
10418,143,173,2018
10443,146,174,2043
10549,147,175,2149
10553,148,175,2153
10623,151,177,2223
10701,153,178,1701
10752,152,179,1752
10782,150,179,1782
10850,154,180,1850
10918,156,181,1918
10986,158,183,1986
11001,155,183,2001
11074,157,184,2074
11127,159,185,2127
11214,161,186,2214
11231,160,187,1631
11289,162,188,1689
11439,165,190,1839
11517,167,191,1917
11532,163,192,1932
11576,164,192,1976
11622,169,193,2022
11704,168,195,2104
11774,166,196,2174
11790,170,196,2190
11910,173,198,1710
11930,171,198,1730
11975,177,199,1775
11985,172,199,1785
12137,174,202,1937
12141,175,202,1941
12159,176,202,1959
12312,181,205,2112
12380,178,206,2180
12479,179,207,2279
12579,182,209,1779
12670,180,211,1870
12727,183,212,1927
12799,185,213,1999
12838,186,213,2038
12979,189,216,2179
13041,184,217,2241
13055,187,217,2255
13111,188,218,2311
13140,191,219,2340
13334,194,222,1934
13347,193,222,1947
13389,192,223,1989
13390,190,223,1990
13524,198,225,2124
13561,196,226,2161
13599,199,226,2199
13642,195,227,2242
13732,200,228,2332
13817,197,230,2417
13829,201,230,1829
13898,202,231,1898
14003,203,233,2003
14140,204,235,2140
14213,207,236,2213
14263,205,237,2263
14309,208,238,2309
14344,206,239,2344
14461,212,241,2461
14465,209,241,2465
14516,210,241,1916
14528,213,242,1928
14658,211,244,2058
14672,216,244,2072
14711,214,245,2111
14776,217,246,2176
14785,215,246,2185
14856,220,247,2256
14905,221,248,2305
14947,218,249,2347
14981,222,249,1781
15089,219,251,1889
15125,226,252,1925
15156,225,252,1956
15219,223,253,2019
15262,227,254,2062
15342,224,255,2142
15359,228,255,2159
15541,230,259,2341
15547,229,259,2347
15618,232,260,1818
15643,231,260,1843
15742,234,262,1942
15759,235,262,1959
15891,233,264,2091
15928,236,265,2128
15998,237,266,2198
16205,239,270,2405
16206,238,270,2406
16294,240,271,2494
16356,241,272,1956
16474,242,274,2074
16619,243,276,2219
16708,244,278,2308
16741,247,279,2341
16770,245,279,2370
16844,246,280,2444
16923,251,282,2523
16928,249,282,2528
17021,248,283,2621
17098,250,284,2098
17133,255,285,2133
17184,253,286,2184
17225,254,287,2225
17279,256,287,2279
17352,252,289,2352
17441,258,290,2441
17493,257,291,2493
17500,259,291,2500
17671,264,294,2671
17697,262,294,2097
17715,260,295,2115
17743,261,295,2143
17881,267,298,2281
17890,263,298,2290
18015,265,300,2415
18027,268,300,2427
18157,269,302,2557
18192,266,303,2592
18246,272,304,2646
18299,273,304,2099
18307,274,305,2107
18369,271,306,2169
18414,270,306,2214
18495,277,308,2295
18577,276,309,2377
18699,275,311,2499
18701,280,311,2501
18745,278,312,2545
18776,279,312,2576
18833,281,313,2033
18962,284,316,2162
19036,282,317,2236
19075,283,317,2275
19126,286,318,2326
19129,285,318,2329
19215,287,320,2415
19342,291,322,2542
19420,289,323,2620
19460,290,324,2660
19469,293,324,2069
19489,288,324,2089
19631,292,327,2231
19659,294,327,2259
19762,296,329,2362
19765,297,329,2365
19776,295,329,2376
19846,298,330,2446
19945,301,332,2545
19992,300,333,2592
20066,299,334,2066
20161,305,336,2161
20201,303,336,2201
20281,304,338,2281
20359,302,339,2359
20388,306,339,2388
20532,308,342,2532
