Time,object,time in min,Total time spent
20534,307,342,2534
20598,311,343,2598
20620,313,343,2620
20680,312,344,2080
20729,309,345,2129
20795,315,346,2195
20836,310,347,2236
20870,316,347,2270
20900,317,348,2300
20986,314,349,2386
21079,320,351,2479
21137,319,352,2537
21143,318,352,2543
21203,321,353,2003
21290,322,354,2090
21422,325,357,2222
21446,323,357,2246
21570,326,359,2370
21577,324,359,2377
21622,328,360,2422
21681,327,361,2481
21715,329,361,2515
21784,330,363,2584
21791,331,363,1991
21877,333,364,2077
21982,334,366,2182
22193,335,369,2393
22283,336,371,2483
22304,332,371,2504
22340,337,372,2540
22517,338,375,2717
22517,339,375,2717
22544,340,375,2744
22614,341,376,2214
22662,343,377,2262
22709,342,378,2309
22756,344,379,2356
22860,347,381,2460
22868,345,381,2468
22890,348,381,2490
22941,346,382,2541
22994,350,383,2594
23018,351,383,2618
23098,353,384,2098
23188,349,386,2188
23216,354,386,2216
23317,355,388,2317
23341,352,389,2341
23390,356,389,2390
23410,359,390,2410
23570,357,392,2570
23690,358,394,2690
23705,361,395,2705
23723,360,395,2123
23798,363,396,2198
23834,364,397,2234
23876,367,397,2276
23897,365,398,2297
23978,368,399,2378
23993,369,399,2393
24043,362,400,2443
24209,366,403,2609
24436,372,407,2836
24437,373,407,2237
24461,370,407,2261
24584,374,409,2384
24609,371,410,2409
24645,375,410,2445
24739,377,412,2539
24810,380,413,2610
24860,378,414,2660
24996,376,416,2796
24998,382,416,2798
25019,381,416,2219
25047,379,417,2247
25225,383,420,2425
25251,386,420,2451
25269,384,421,2469
25314,388,421,2514
25398,389,423,2598
25419,385,423,2619
25475,387,424,2675
25608,391,426,2808
25638,390,427,2238
25686,392,428,2286
25740,393,429,2340
25809,396,430,2409
25958,395,432,2558
25983,398,433,2583
26016,394,433,2616
26113,399,435,2713
26129,397,435,2729
26171,402,436,2771
26251,403,437,2251
26285,406,438,2285
26340,400,439,2340
26383,401,439,2383
26497,408,441,2497
26513,405,441,2513
26557,404,442,2557
26697,407,444,2697
26739,410,445,2739
26755,411,445,2755
26819,409,446,2219
26836,415,447,2236
26945,414,449,2345
26997,413,449,2397
27004,419,450,2404
27014,412,450,2414
27160,417,452,2560
27193,420,453,2593
27203,416,453,2603
27230,418,453,2630
27388,422,456,2188
27390,425,456,2190
27403,421,456,2203
27437,423,457,2237
27522,427,458,2322
27604,424,460,2404
27628,429,460,2428
27648,430,460,2448
27667,426,461,2467
27817,428,463,2617
27824,431,463,2024
27845,432,464,2045
27860,433,464,2060
27997,435,466,2197
28002,434,466,2202
28045,436,467,2245
28119,437,468,2319
28168,440,469,2368
28265,439,471,2465
28281,438,471,2481
28413,442,473,2013
28416,443,473,2016
28558,441,475,2158
28571,444,476,2171
28571,447,476,2171
28589,445,476,2189
28736,450,478,2336
28745,448,479,2345
28794,446,479,2394
