FLAGS,VOR-,ETT+,BST+,KNO-,OID-,ERR-,0,0
4256.3,B,14,OW,,,,,
4256.3,B,14,B-,61,61,3,,
4256.3,B,17,B+,61,61,1,,
4256.3,B,14,BO,0,,,,
4256.3,B,17,BI,0,,,,
4256.3,B,17,AB,61,61,,,
4257.7,B,18,BO,0,,,,
4257.7,B,19,BI,0,,,,
4263.4,B,19,OW,,,,,
4263.4,B,20,EE,1,,,,
4263.4,B,20,KE,1,,,,
4263.4,B,19,B-,55,55,1,,
4263.4,B,20,G+,1,55,55,1,
4263.4,B,20,LL,1,55,,,
4263.4,B,19,BO,0,,,,
4263.4,B,20,BI,0,,,,
4263.4,B,20,KL,1,,,,
4266.9,B,6,AE,67,67,,,
4266.9,B,6,OW,,,,,
4321.5,B,15,AE,58,58,,,
4321.5,B,15,OW,,,,,
4321.5,B,15,B-,58,58,1,,
4321.5,B,18,B+,58,58,1,,
4321.5,B,15,BO,0,,,,
4321.5,B,18,BI,0,,,,
4321.5,B,18,OW,,,,,
4321.5,B,18,B-,58,58,1,,
4321.5,B,19,B+,58,58,1,,
4322.9,B,18,BO,0,,,,
4322.9,B,19,BI,0,,,,
4328.5,B,19,OW,,,,,
4328.5,B,20,EE,1,,,,
4328.5,B,20,KE,1,,,,
4328.5,B,19,B-,58,58,1,,
4328.5,B,20,G+,1,58,58,1,
4328.5,B,20,LL,1,58,,,
4328.5,B,19,BO,0,,,,
4328.5,B,20,BI,0,,,,
4328.5,B,20,KL,1,,,,
4362.2,B,20,A+,1,,,,
4362.2,B,20,EL,1,,,,
4362.2,B,20,LA,1,49,,,
4362.2,B,20,OW,,,,,
4362.2,B,20,A-,1,,,,
4362.2,B,20,G-,1,49,49,1,
4362.2,B,23,B+,49,49,1,,
4362.2,B,20,BO,28,,,,
4362.2,B,23,BI,0,,,,
4362.2,B,23,B-,49,49,1,,
4362.2,B,20,KA,1,,,,
4367.8,B,16,AE,57,57,,,
4367.8,B,16,OW,,,,,
4367.8,B,16,B-,57,57,1,,
4367.8,B,18,B+,57,57,2,,
4367.8,B,16,BO,0,,,,
4367.8,B,18,BI,0,,,,
4367.8,B,18,OW,,,,,
4367.8,B,18,B-,57,57,1,,
4367.8,B,19,B+,57,57,1,,
4369.2,B,18,BO,0,,,,
4369.2,B,19,BI,0,,,,
4371.5,B,11,AE,64,64,,,
4371.5,B,11,OW,,,,,
4371.5,B,11,B-,64,64,1,,
4371.5,B,12,B+,64,64,3,,
4371.5,B,11,BO,0,,,,
4371.5,B,12,BI,0,,,,
4371.5,B,12,OW,,,,,
4371.5,B,12,B-,64,64,1,,
4371.5,B,13,B+,64,64,1,,
4371.5,B,8,OW,,,,,
4371.5,B,8,B-,65,65,3,,
4371.5,B,11,B+,65,65,1,,
4371.5,B,8,BO,0,,,,
4371.5,B,11,BI,0,,,,
4371.5,B,11,AB,65,65,,,
4371.5,B,7,B-,66,66,1,,
4371.5,B,8,B+,66,66,1,,
4371.5,B,7,BO,0,,,,
4371.5,B,8,BI,0,,,,
4371.5,B,6,B-,67,67,1,,
4371.5,B,7,B+,67,67,1,,
4371.5,B,5,B-,68,68,1,,
4371.5,B,6,B+,68,68,1,,
4371.5,B,4,B-,72,72,1,,
4371.5,B,5,B+,72,72,1,,
4371.5,B,5,BO,0,,,,
4371.5,B,6,BI,0,,,,
4371.5,B,6,AB,68,68,,,
4371.5,B,1,B-,73,73,1,,
4371.5,B,4,B+,73,73,1,,
4371.5,B,1,BO,0,,,,
4371.5,B,4,BI,0,,,,
4371.5,B,4,AB,73,73,,,
4371.5,B,1,OW,,,,,
4371.5,B,9,AE,63,63,,,
4371.5,B,9,OW,,,,,
4371.5,B,9,B-,63,63,1,,
4371.5,B,12,B+,63,63,1,,
4371.5,B,9,BO,0,,,,
4371.5,B,12,BI,0,,,,
4371.5,B,12,OW,,,,,
4371.5,B,8,OW,,,,,
4371.5,B,8,B-,66,66,1,,
4371.5,B,9,B+,66,66,1,,
4371.5,B,8,BO,0,,,,
4371.5,B,9,BI,0,,,,
4371.5,B,9,AB,66,66,,,
4372.9,B,12,BO,0,,,,
4372.9,B,13,BI,0,,,,
4372.9,B,4,BO,0,,,,
4372.9,B,5,BI,0,,,,
4372.9,B,5,OW,,,,,
4372.9,B,6,BO,0,,,,
4372.9,B,7,BI,0,,,,
4372.9,B,12,B-,63,63,1,,
4372.9,B,13,B+,63,63,1,,
4374.3,B,12,BO,0,,,,
4374.3,B,13,BI,0,,,,
4374.8,B,19,OW,,,,,
4374.8,B,20,EE,1,,,,
4374.8,B,20,KE,1,,,,
4374.8,B,19,B-,57,57,1,,
4374.8,B,20,G+,1,57,57,1,
4374.8,B,20,LL,1,57,,,
4374.8,B,19,BO,0,,,,
4374.8,B,20,BI,0,,,,
4374.8,B,20,KL,1,,,,
4378.6,B,7,OW,,,,,
4378.6,B,7,B-,67,67,1,,
4378.6,B,8,B+,67,67,1,,
4378.6,B,13,OW,,,,,
4378.6,B,13,B-,64,64,1,,
4378.6,B,14,B+,64,64,1,,
4378.6,B,7,BO,0,,,,
4378.6,B,8,BI,0,,,,
4378.6,B,13,BO,0,,,,
4378.6,B,14,BI,0,,,,
4378.6,B,14,OW,,,,,
4378.6,B,14,B-,64,64,1,,
4378.6,B,15,B+,64,64,1,,
4378.6,B,14,BO,0,,,,
4378.6,B,15,BI,0,,,,
4378.6,B,15,AB,64,64,,,
4380.0,B,13,OW,,,,,
4380.0,B,13,B-,63,63,1,,
4380.0,B,14,B+,63,63,1,,
4380.0,B,13,BO,0,,,,
4380.0,B,14,BI,0,,,,
4380.0,B,14,OW,,,,,
4380.0,B,14,B-,63,63,2,,
4380.0,B,16,B+,63,63,1,,
4380.0,B,14,BO,0,,,,
4380.0,B,16,BI,0,,,,
4380.0,B,16,AB,63,63,,,
4384.2,B,4,AE,73,73,,,
4384.2,B,4,OW,,,,,
4389.8,B,21,AE,59,59,,,
4389.8,B,21,OW,,,,,
4389.8,B,21,B-,59,59,1,,
4389.8,B,18,B+,59,59,4,,
4389.8,B,21,BO,0,,,,
4389.8,B,18,BI,0,,,,
4389.8,B,18,OW,,,,,
4389.8,B,18,B-,59,59,1,,
4389.8,B,19,B+,59,59,1,,
4391.2,B,18,BO,0,,,,
4391.2,B,19,BI,0,,,,
4396.8,B,19,OW,,,,,
4396.8,B,20,EE,1,,,,
4396.8,B,20,KE,1,,,,
4396.8,B,19,B-,59,59,1,,
4396.8,B,20,G+,1,59,59,1,
4396.8,B,20,LL,1,59,,,
4396.8,B,19,BO,0,,,,
4396.8,B,20,BI,0,,,,
4396.8,B,20,KL,1,,,,
4409.1,B,20,A+,1,,,,
4409.1,B,20,EL,1,,,,
4409.1,B,20,LA,1,46,,,
4409.1,B,20,OW,,,,,
4409.1,B,20,A-,1,,,,
4409.1,B,20,G-,1,46,46,1,
4409.1,B,23,B+,46,46,1,,
4409.1,B,20,BO,28,,,,
4409.1,B,23,BI,0,,,,
4409.1,B,23,B-,46,46,1,,
4409.1,B,20,KA,1,,,,
4414.9,B,6,AE,68,68,,,
4414.9,B,6,OW,,,,,
4414.9,B,6,B-,68,68,1,,
4414.9,B,7,B+,68,68,1,,
4414.9,B,5,B-,69,69,1,,
4414.9,B,6,B+,69,69,1,,
4414.9,B,4,B-,73,73,1,,
4414.9,B,5,B+,73,73,1,,
4414.9,B,5,BO,0,,,,
4414.9,B,6,BI,0,,,,
4414.9,B,6,AB,69,69,,,
4414.9,B,1,B-,74,74,1,,
4414.9,B,4,B+,74,74,1,,
4414.9,B,1,BO,0,,,,
4414.9,B,4,BI,0,,,,
4414.9,B,4,AB,74,74,,,
4414.9,B,1,OW,,,,,
4416.3,B,6,BO,0,,,,
4416.3,B,7,BI,0,,,,
4416.3,B,4,BO,0,,,,
4416.3,B,5,BI,0,,,,
4416.8,B,5,OW,,,,,
4420.5,B,4,AE,74,74,,,
4420.5,B,4,OW,,,,,
4422.0,B,7,OW,,,,,
4433.2,B,6,AE,69,69,,,
4433.2,B,6,OW,,,,,
4443.9,B,20,A+,1,,,,
4443.9,B,20,EL,1,,,,
4443.9,B,20,LA,1,48,,,
4443.9,B,20,OW,,,,,
4443.9,B,20,A-,1,,,,
4443.9,B,20,G-,1,48,48,1,
4443.9,B,23,B+,48,48,1,,
4443.9,B,20,BO,28,,,,
4443.9,B,23,BI,0,,,,
4443.9,B,23,B-,48,48,1,,
4443.9,B,20,KA,1,,,,
4448.2,B,11,AE,65,65,,,
4448.2,B,11,OW,,,,,
4448.2,B,11,B-,65,65,1,,
4448.2,B,12,B+,65,65,3,,
4448.2,B,11,BO,0,,,,
4448.2,B,12,BI,0,,,,
4448.2,B,12,OW,,,,,
4448.2,B,12,B-,65,65,1,,
4448.2,B,13,B+,65,65,1,,
4448.2,B,8,OW,,,,,
4448.2,B,8,B-,67,67,3,,
4448.2,B,11,B+,67,67,1,,
4448.2,B,8,BO,0,,,,
4448.2,B,11,BI,0,,,,
4448.2,B,11,AB,67,67,,,
4448.2,B,7,B-,68,68,1,,
4448.2,B,8,B+,68,68,1,,
4448.2,B,7,BO,0,,,,
4448.2,B,8,BI,0,,,,
4448.2,B,6,B-,69,69,1,,
4448.2,B,7,B+,69,69,1,,
4448.2,B,5,B-,70,70,1,,
4448.2,B,6,B+,70,70,1,,
4448.2,B,4,B-,74,74,1,,
4448.2,B,5,B+,74,74,1,,
4448.2,B,5,BO,0,,,,
4448.2,B,6,BI,0,,,,
4448.2,B,6,AB,70,70,,,
4448.2,B,1,B-,75,75,1,,
4448.2,B,4,B+,75,75,1,,
4448.2,B,1,BO,0,,,,
4448.2,B,4,BI,0,,,,
4448.2,B,4,AB,75,75,,,
4448.2,B,1,OW,,,,,
4449.6,B,12,BO,0,,,,
4449.6,B,13,BI,0,,,,
4449.6,B,6,BO,0,,,,
4449.6,B,7,BI,0,,,,
4449.6,B,4,BO,0,,,,
4449.6,B,5,BI,0,,,,
4449.6,B,5,OW,,,,,
4452.9,B,17,AE,61,61,,,
4452.9,B,17,OW,,,,,
4452.9,B,17,B-,61,61,1,,
4452.9,B,18,B+,61,61,3,,
4452.9,B,17,BO,0,,,,
4452.9,B,18,BI,0,,,,
4452.9,B,18,OW,,,,,
4452.9,B,18,B-,61,61,1,,
4452.9,B,19,B+,61,61,1,,
4454.3,B,18,BO,0,,,,
4454.3,B,19,BI,0,,,,
4455.3,B,7,OW,,,,,
4455.3,B,13,OW,,,,,
4455.3,B,13,B-,65,65,1,,
4455.3,B,14,B+,65,65,1,,
4455.3,B,13,BO,0,,,,
4455.3,B,14,BI,0,,,,
4455.3,B,14,OW,,,,,
4455.3,B,14,B-,65,65,3,,
4455.3,B,17,B+,65,65,1,,
4455.3,B,14,BO,0,,,,
4455.3,B,17,BI,0,,,,
4455.3,B,17,AB,65,65,,,
4455.5,B,4,AE,75,75,,,
4455.5,B,4,OW,,,,,
4459.9,B,19,OW,,,,,
4459.9,B,20,EE,1,,,,
4459.9,B,20,KE,1,,,,
4459.9,B,19,B-,61,61,1,,
4459.9,B,20,G+,1,61,61,1,
4459.9,B,20,LL,1,61,,,
4459.9,B,19,BO,0,,,,
4459.9,B,20,BI,0,,,,
4459.9,B,20,KL,1,,,,
4464.8,B,10,AE,62,62,,,
4464.8,B,10,OW,,,,,
4464.8,B,10,B-,62,62,1,,
4464.8,B,12,B+,62,62,2,,
4464.8,B,10,BO,0,,,,
4464.8,B,12,BI,0,,,,
4464.8,B,12,OW,,,,,
4464.8,B,12,B-,62,62,1,,
4464.8,B,13,B+,62,62,1,,
4464.8,B,8,OW,,,,,
4464.8,B,8,B-,68,68,2,,
4464.8,B,10,B+,68,68,1,,
4464.8,B,8,BO,0,,,,
4464.8,B,10,BI,0,,,,
4464.8,B,10,AB,68,68,,,
4464.8,B,7,B-,69,69,1,,
4464.8,B,8,B+,69,69,1,,
4464.8,B,7,BO,0,,,,
4464.8,B,8,BI,0,,,,
4466.2,B,12,BO,0,,,,
4466.2,B,13,BI,0,,,,
4468.1,B,6,AE,70,70,,,
4468.1,B,6,OW,,,,,
4468.1,B,6,B-,70,70,1,,
4468.1,B,7,B+,70,70,1,,
4468.1,B,5,B-,71,71,1,,
4468.1,B,6,B+,71,71,1,,
4468.1,B,4,B-,75,75,1,,
4468.1,B,5,B+,75,75,1,,
4468.1,B,5,BO,0,,,,
4468.1,B,6,BI,0,,,,
4468.1,B,6,AB,71,71,,,
4468.1,B,1,B-,76,76,1,,
4468.1,B,4,B+,76,76,1,,
4468.1,B,1,BO,0,,,,
4468.1,B,4,BI,0,,,,
4468.1,B,4,AB,76,76,,,
4468.1,B,1,OW,,,,,
4469.5,B,6,BO,0,,,,
4469.5,B,7,BI,0,,,,
4469.5,B,4,BO,0,,,,
4469.5,B,5,BI,0,,,,
4470.4,B,5,OW,,,,,
4471.9,B,13,OW,,,,,
4471.9,B,13,B-,62,62,1,,
4471.9,B,14,B+,62,62,1,,
4471.9,B,13,BO,0,,,,
4471.9,B,14,BI,0,,,,
4471.9,B,14,OW,,,,,
4471.9,B,14,B-,62,62,4,,
4471.9,B,21,B+,62,62,1,,
4471.9,B,14,BO,0,,,,
4471.9,B,21,BI,0,,,,
4471.9,B,21,AB,62,62,,,
4475.2,B,7,OW,,,,,
4479.7,B,4,AE,76,76,,,
4479.7,B,4,OW,,,,,
4489.2,B,6,AE,71,71,,,
4489.2,B,6,OW,,,,,
4500.7,B,20,A+,1,,,,
4500.7,B,20,EL,1,,,,
4500.7,B,20,LA,1,50,,,
4500.7,B,20,OW,,,,,
4500.7,B,20,A-,1,,,,
4500.7,B,20,G-,1,50,50,1,
4500.7,B,23,B+,50,50,1,,
4500.7,B,20,BO,28,,,,
4500.7,B,23,BI,0,,,,
4500.7,B,23,B-,50,50,1,,
4500.7,B,20,KA,1,,,,
4524.2,B,22,AE,60,60,,,
4524.2,B,22,OW,,,,,
4524.2,B,22,B-,60,60,1,,
4524.2,B,12,B+,60,60,4,,
4524.2,B,22,BO,0,,,,
4524.2,B,12,BI,0,,,,
4524.2,B,12,OW,,,,,
4524.2,B,12,B-,60,60,1,,
4524.2,B,13,B+,60,60,1,,
4524.2,B,8,OW,,,,,
4524.2,B,8,B-,69,69,4,,
4524.2,B,22,B+,69,69,1,,
4524.2,B,8,BO,0,,,,
4524.2,B,22,BI,0,,,,
4524.2,B,22,AB,69,69,,,
4524.2,B,7,B-,70,70,1,,
4524.2,B,8,B+,70,70,1,,
4524.2,B,7,BO,0,,,,
4524.2,B,8,BI,0,,,,
4524.2,B,6,B-,71,71,1,,
4524.2,B,7,B+,71,71,1,,
4524.2,B,5,B-,72,72,1,,
4524.2,B,6,B+,72,72,1,,
4524.2,B,4,B-,76,76,1,,
4524.2,B,5,B+,76,76,1,,
4524.2,B,5,BO,0,,,,
4524.2,B,6,BI,0,,,,
4524.2,B,6,AB,72,72,,,
4524.2,B,1,B-,77,77,1,,
4524.2,B,4,B+,77,77,1,,
4524.2,B,1,BO,0,,,,
4524.2,B,4,BI,0,,,,
4524.2,B,4,AB,77,77,,,
4524.2,B,1,OW,,,,,
4525.7,B,12,BO,0,,,,
4525.7,B,13,BI,0,,,,
4525.7,B,6,BO,0,,,,
4525.7,B,7,BI,0,,,,
4525.7,B,4,BO,0,,,,
4525.7,B,5,BI,0,,,,
4525.7,B,5,OW,,,,,
4526.9,B,4,AE,77,77,,,
4526.9,B,4,OW,,,,,
4531.3,B,13,OW,,,,,
4531.3,B,13,B-,60,60,1,,
4531.3,B,14,B+,60,60,1,,
4531.3,B,7,OW,,,,,
4531.3,B,13,BO,0,,,,
4531.3,B,14,BI,0,,,,
4558.3,B,15,AE,64,64,,,
4558.3,B,15,OW,,,,,
4558.3,B,15,B-,64,64,1,,
4558.3,B,18,B+,64,64,1,,
4558.3,B,15,BO,0,,,,
4558.3,B,18,BI,0,,,,
4558.3,B,18,OW,,,,,
4558.3,B,18,B-,64,64,1,,
4558.3,B,19,B+,64,64,1,,
4558.3,B,14,OW,,,,,
4558.3,B,14,B-,60,60,1,,
4558.3,B,15,B+,60,60,1,,
4558.3,B,14,BO,0,,,,
4558.3,B,15,BI,0,,,,
4558.3,B,15,AB,60,60,,,
4559.7,B,18,BO,0,,,,
4559.7,B,19,BI,0,,,,
4565.4,B,19,OW,,,,,
4565.4,B,20,EE,1,,,,
4565.4,B,20,KE,1,,,,
4565.4,B,19,B-,64,64,1,,
4565.4,B,20,G+,1,64,64,1,
4565.4,B,20,LL,1,64,,,
4565.4,B,19,BO,0,,,,
4565.4,B,20,BI,0,,,,
4565.4,B,20,KL,1,,,,
4575.4,B,6,AE,72,72,,,
4575.4,B,6,OW,,,,,
4581.1,B,16,AE,63,63,,,
4581.1,B,16,OW,,,,,
4581.1,B,16,B-,63,63,1,,
4581.1,B,18,B+,63,63,2,,
4581.1,B,16,BO,0,,,,
4581.1,B,18,BI,0,,,,
4581.1,B,18,OW,,,,,
4581.1,B,18,B-,63,63,1,,
4581.1,B,19,B+,63,63,1,,
4582.5,B,18,BO,0,,,,
4582.5,B,19,BI,0,,,,
4582.8,B,20,A+,1,,,,
4582.8,B,20,EL,1,,,,
4582.8,B,20,LA,1,47,,,
4582.8,B,20,OW,,,,,
4582.8,B,20,A-,1,,,,
4582.8,B,20,G-,1,47,47,1,
4582.8,B,23,B+,47,47,1,,
4582.8,B,20,BO,28,,,,
4582.8,B,23,BI,0,,,,
4582.8,B,23,B-,47,47,1,,
4582.8,B,20,KA,1,,,,
4588.1,B,19,OW,,,,,
4588.1,B,20,EE,1,,,,
4588.1,B,20,KE,1,,,,
4588.1,B,19,B-,63,63,1,,
4588.1,B,20,G+,1,63,63,1,
4588.1,B,20,LL,1,63,,,
4588.1,B,19,BO,0,,,,
4588.1,B,20,BI,0,,,,
4588.1,B,20,KL,1,,,,
4619.0,B,9,AE,66,66,,,
4619.0,B,9,OW,,,,,
4619.0,B,9,B-,66,66,1,,
4619.0,B,12,B+,66,66,1,,
4619.0,B,9,BO,0,,,,
4619.0,B,12,BI,0,,,,
4619.0,B,12,OW,,,,,
4619.0,B,12,B-,66,66,1,,
4619.0,B,13,B+,66,66,1,,
4619.0,B,8,OW,,,,,
4619.0,B,8,B-,70,70,1,,
4619.0,B,9,B+,70,70,1,,
4619.0,B,8,BO,0,,,,
4619.0,B,9,BI,0,,,,
4619.0,B,9,AB,70,70,,,
4619.0,B,7,B-,71,71,1,,
4619.0,B,8,B+,71,71,1,,
4619.0,B,7,BO,0,,,,
4619.0,B,8,BI,0,,,,
4619.0,B,6,B-,72,72,1,,
4619.0,B,7,B+,72,72,1,,
4619.0,B,5,B-,73,73,1,,
4619.0,B,6,B+,73,73,1,,
4619.0,B,4,B-,77,77,1,,
4619.0,B,5,B+,77,77,1,,
4619.0,B,5,BO,0,,,,
4619.0,B,6,BI,0,,,,
4619.0,B,6,AB,73,73,,,
4619.0,B,1,B-,78,78,1,,
4619.0,B,4,B+,78,78,1,,
4619.0,B,1,BO,0,,,,
4619.0,B,4,BI,0,,,,
4619.0,B,4,AB,78,78,,,
4619.0,B,1,OW,,,,,
4620.4,B,12,BO,0,,,,
4620.4,B,13,BI,0,,,,
4620.4,B,6,BO,0,,,,
4620.4,B,7,BI,0,,,,
4620.4,B,4,BO,0,,,,
4620.4,B,5,BI,0,,,,
4621.0,B,5,OW,,,,,
4626.1,B,13,OW,,,,,
4626.1,B,13,B-,66,66,1,,
4626.1,B,14,B+,66,66,1,,
4626.1,B,7,OW,,,,,
4626.1,B,13,BO,0,,,,
4626.1,B,14,BI,0,,,,
4626.1,B,14,OW,,,,,
4626.1,B,14,B-,66,66,2,,
4626.1,B,16,B+,66,66,1,,
4626.1,B,14,BO,0,,,,
4626.1,B,16,BI,0,,,,
4626.1,B,16,AB,66,66,,,
4631.8,B,4,AE,78,78,,,
4631.8,B,4,OW,,,,,
4634.4,B,6,AE,73,73,,,
4634.4,B,6,OW,,,,,
4640.6,B,21,AE,62,62,,,
4640.6,B,21,OW,,,,,
4640.6,B,21,B-,62,62,1,,
4640.6,B,18,B+,62,62,4,,
4640.6,B,21,BO,0,,,,
4640.6,B,18,BI,0,,,,
4640.6,B,18,OW,,,,,
4640.6,B,18,B-,62,62,1,,
4640.6,B,19,B+,62,62,1,,
4642.0,B,18,BO,0,,,,
4642.0,B,19,BI,0,,,,
4647.7,B,19,OW,,,,,
4647.7,B,20,EE,1,,,,
4647.7,B,20,KE,1,,,,
4647.7,B,19,B-,62,62,1,,
4647.7,B,20,G+,1,62,62,1,
4647.7,B,20,LL,1,62,,,
4647.7,B,19,BO,0,,,,
4647.7,B,20,BI,0,,,,
4647.7,B,20,KL,1,,,,
4651.6,B,17,AE,65,65,,,
4651.6,B,17,OW,,,,,
4651.6,B,17,B-,65,65,1,,
4651.6,B,18,B+,65,65,3,,
4651.6,B,17,BO,0,,,,
4651.6,B,18,BI,0,,,,
4651.6,B,18,OW,,,,,
4651.6,B,18,B-,65,65,1,,
4651.6,B,19,B+,65,65,1,,
4653.0,B,18,BO,0,,,,
4653.0,B,19,BI,0,,,,
4658.7,B,19,OW,,,,,
4658.7,B,20,EE,1,,,,
4658.7,B,20,KE,1,,,,
4658.7,B,19,B-,65,65,1,,
4658.7,B,20,G+,1,65,65,1,
4658.7,B,20,LL,1,65,,,
4658.7,B,19,BO,0,,,,
4658.7,B,20,BI,0,,,,
4658.7,B,20,KL,1,,,,
4674.4,B,10,AE,68,68,,,
4674.4,B,10,OW,,,,,
4674.4,B,10,B-,68,68,1,,
4674.4,B,12,B+,68,68,2,,
4674.4,B,10,BO,0,,,,
4674.4,B,12,BI,0,,,,
4674.4,B,12,OW,,,,,
4674.4,B,12,B-,68,68,1,,
4674.4,B,13,B+,68,68,1,,
4674.4,B,8,OW,,,,,
4674.4,B,8,B-,71,71,2,,
4674.4,B,10,B+,71,71,1,,
4674.4,B,8,BO,0,,,,
4674.4,B,10,BI,0,,,,
4674.4,B,10,AB,71,71,,,
4674.4,B,7,B-,72,72,1,,
4674.4,B,8,B+,72,72,1,,
4674.4,B,7,BO,0,,,,
4674.4,B,8,BI,0,,,,
4674.4,B,6,B-,73,73,1,,
4674.4,B,7,B+,73,73,1,,
4674.4,B,5,B-,74,74,1,,
4674.4,B,6,B+,74,74,1,,
4674.4,B,4,B-,78,78,1,,
4674.4,B,5,B+,78,78,1,,
4674.4,B,5,BO,0,,,,
4674.4,B,6,BI,0,,,,
4674.4,B,6,AB,74,74,,,
4674.4,B,1,B-,79,79,1,,
4674.4,B,4,B+,79,79,1,,
4674.4,B,1,BO,0,,,,
4674.4,B,4,BI,0,,,,
4674.4,B,4,AB,79,79,,,
4674.4,B,1,OW,,,,,
4675.9,B,12,BO,0,,,,
4675.9,B,13,BI,0,,,,
4675.9,B,6,BO,0,,,,
4675.9,B,7,BI,0,,,,
4675.9,B,4,BO,0,,,,
4675.9,B,5,BI,0,,,,
4675.9,B,5,OW,,,,,
4681.5,B,13,OW,,,,,
4681.5,B,13,B-,68,68,1,,
4681.5,B,14,B+,68,68,1,,
4681.5,B,7,OW,,,,,
4681.5,B,13,BO,0,,,,
4681.5,B,14,BI,0,,,,
4681.5,B,14,OW,,,,,
4681.5,B,14,B-,68,68,3,,
4681.5,B,17,B+,68,68,1,,
4681.5,B,14,BO,0,,,,
4681.5,B,17,BI,0,,,,
4681.5,B,17,AB,68,68,,,
4684.1,B,4,AE,79,79,,,
4684.1,B,4,OW,,,,,
4721.7,B,6,AE,74,74,,,
4721.7,B,6,OW,,,,,
4723.4,B,22,AE,69,69,,,
4723.4,B,22,OW,,,,,
4723.4,B,22,B-,69,69,1,,
4723.4,B,12,B+,69,69,4,,
4723.4,B,22,BO,0,,,,
4723.4,B,12,BI,0,,,,
4723.4,B,12,OW,,,,,
4723.4,B,12,B-,69,69,1,,
4723.4,B,13,B+,69,69,1,,
4723.4,B,8,OW,,,,,
4723.4,B,8,B-,72,72,4,,
4723.4,B,22,B+,72,72,1,,
4723.4,B,8,BO,0,,,,
4723.4,B,22,BI,0,,,,
4723.4,B,22,AB,72,72,,,
4723.4,B,7,B-,73,73,1,,
4723.4,B,8,B+,73,73,1,,
4723.4,B,7,BO,0,,,,
4723.4,B,8,BI,0,,,,
4723.4,B,6,B-,74,74,1,,
4723.4,B,7,B+,74,74,1,,
4723.4,B,5,B-,75,75,1,,
4723.4,B,6,B+,75,75,1,,
4723.4,B,4,B-,79,79,1,,
4723.4,B,5,B+,79,79,1,,
4723.4,B,5,BO,0,,,,
4723.4,B,6,BI,0,,,,
4723.4,B,6,AB,75,75,,,
4723.4,B,1,B-,80,80,1,,
4723.4,B,4,B+,80,80,1,,
4723.4,B,1,BO,0,,,,
4723.4,B,4,BI,0,,,,
4723.4,B,4,AB,80,80,,,
4723.4,B,1,OW,,,,,
4724.8,B,12,BO,0,,,,
4724.8,B,13,BI,0,,,,
4724.8,B,6,BO,0,,,,
4724.8,B,7,BI,0,,,,
4724.8,B,4,BO,0,,,,
4724.8,B,5,BI,0,,,,
4725.7,B,5,OW,,,,,
4726.9,B,15,AE,60,60,,,
4726.9,B,15,OW,,,,,
4726.9,B,15,B-,60,60,1,,
4726.9,B,18,B+,60,60,1,,
4726.9,B,15,BO,0,,,,
4726.9,B,18,BI,0,,,,
4726.9,B,18,OW,,,,,
4726.9,B,18,B-,60,60,1,,
4726.9,B,19,B+,60,60,1,,
4728.3,B,18,BO,0,,,,
4728.3,B,19,BI,0,,,,
4729.9,B,4,AE,80,80,,,
4729.9,B,4,OW,,,,,
4730.5,B,7,OW,,,,,
4730.5,B,13,OW,,,,,
4730.5,B,13,B-,69,69,1,,
4730.5,B,14,B+,69,69,1,,
4730.5,B,13,BO,0,,,,
4730.5,B,14,BI,0,,,,
4730.5,B,14,OW,,,,,
4730.5,B,14,B-,69,69,1,,
4730.5,B,15,B+,69,69,1,,
4730.5,B,14,BO,0,,,,
4730.5,B,15,BI,0,,,,
4730.5,B,15,AB,69,69,,,
4734.0,B,19,OW,,,,,
4734.0,B,20,EE,1,,,,
4734.0,B,20,KE,1,,,,
4734.0,B,19,B-,60,60,1,,
4734.0,B,20,G+,1,60,60,1,
4734.0,B,20,LL,1,60,,,
4734.0,B,19,BO,0,,,,
4734.0,B,20,BI,0,,,,
4734.0,B,20,KL,1,,,,
4741.6,B,20,A+,1,,,,
4741.6,B,20,EL,1,,,,
4741.6,B,20,LA,1,52,,,
4741.6,B,20,OW,,,,,
4741.6,B,20,A-,1,,,,
4741.6,B,20,G-,1,52,52,1,
4741.6,B,23,B+,52,52,1,,
4741.6,B,20,BO,28,,,,
4741.6,B,23,BI,0,,,,
4741.6,B,23,B-,52,52,1,,
4741.6,B,20,KA,1,,,,
4751.7,B,6,AE,75,75,,,
4751.7,B,6,OW,,,,,
4773.0,B,20,A+,1,,,,
4773.0,B,20,EL,1,,,,
4773.0,B,20,LA,1,53,,,
4773.0,B,20,OW,,,,,
4773.0,B,20,A-,1,,,,
4773.0,B,20,G-,1,53,53,1,
4773.0,B,23,B+,53,53,1,,
4773.0,B,20,BO,28,,,,
4773.0,B,23,BI,0,,,,
4773.0,B,23,B-,53,53,1,,
4773.0,B,20,KA,1,,,,
4800.0,B,1,B+,113,113,1,,
4800.0,B,1,B+,114,114,1,,
4800.0,B,1,B+,115,115,1,,
4800.0,B,1,B+,116,116,1,,
4800.0,B,1,B+,117,117,1,,
4800.0,B,1,B+,118,118,1,,
4800.0,B,1,B+,119,119,1,,
4800.0,B,1,B+,120,120,1,,
4800.0,B,1,B+,121,121,1,,
4800.0,B,1,B+,122,122,1,,
4800.0,B,1,B+,123,123,1,,
4800.0,B,1,B+,124,124,1,,
4800.0,B,1,B+,125,125,1,,
4800.0,B,1,B+,126,126,1,,
4811.3,B,16,AE,66,66,,,
4811.3,B,16,OW,,,,,
