FLAGS,VOR-,ETT+,BST+,KNO-,OID-,ERR-,0,0
140.2,B,4,B-,7,7,1,,
140.2,B,5,B+,7,7,1,,
140.2,B,5,BO,0,,,,
140.2,B,6,BI,0,,,,
140.2,B,6,AB,5,5,,,
140.2,B,1,B-,8,8,1,,
140.2,B,4,B+,8,8,1,,
140.2,B,1,BO,0,,,,
140.2,B,4,BI,0,,,,
140.2,B,4,AB,8,8,,,
140.2,B,1,OW,,,,,
141.6,B,6,BO,0,,,,
141.6,B,7,BI,0,,,,
141.6,B,4,BO,0,,,,
141.6,B,5,BI,0,,,,
145.1,B,5,OW,,,,,
147.2,B,7,OW,,,,,
147.2,B,7,B-,4,4,1,,
147.2,B,8,B+,4,4,1,,
147.2,B,7,BO,0,,,,
147.2,B,8,BI,0,,,,
147.2,B,8,OW,,,,,
147.2,B,8,B-,4,4,4,,
147.2,B,22,B+,4,4,1,,
147.2,B,8,BO,0,,,,
147.2,B,22,BI,0,,,,
147.2,B,22,AB,4,4,,,
151.6,B,4,AE,8,8,,,
151.6,B,4,OW,,,,,
169.7,B,10,AE,2,2,,,
169.7,B,10,OW,,,,,
169.7,B,10,B-,2,2,1,,
169.7,B,12,B+,2,2,2,,
169.7,B,10,BO,0,,,,
169.7,B,12,BI,0,,,,
169.7,B,12,OW,,,,,
169.7,B,12,B-,2,2,1,,
169.7,B,13,B+,2,2,1,,
171.2,B,12,BO,0,,,,
171.2,B,13,BI,0,,,,
171.9,B,6,AE,5,5,,,
171.9,B,6,OW,,,,,
171.9,B,6,B-,5,5,1,,
171.9,B,7,B+,5,5,1,,
171.9,B,5,B-,6,6,1,,
171.9,B,6,B+,6,6,1,,
171.9,B,4,B-,8,8,1,,
171.9,B,5,B+,8,8,1,,
171.9,B,5,BO,0,,,,
171.9,B,6,BI,0,,,,
171.9,B,6,AB,6,6,,,
171.9,B,1,B-,9,9,1,,
171.9,B,4,B+,9,9,1,,
171.9,B,1,BO,0,,,,
171.9,B,4,BI,0,,,,
171.9,B,4,AB,9,9,,,
171.9,B,1,OW,,,,,
173.3,B,6,BO,0,,,,
173.3,B,7,BI,0,,,,
173.3,B,4,BO,0,,,,
173.3,B,5,BI,0,,,,
174.0,B,5,OW,,,,,
176.8,B,13,OW,,,,,
176.8,B,13,B-,2,2,1,,
176.8,B,14,B+,2,2,1,,
176.8,B,13,BO,0,,,,
