Time,object,time in min,Total time spent
1261,1,21,1261
1283,2,21,1283
1381,4,23,1381
1425,5,23,1425
1495,3,24,1495
1618,6,26,1618
1748,7,29,1748
1784,8,29,1784
1805,10,30,1205
1915,12,31,1315
2012,9,33,1412
2034,11,33,1434
2175,14,36,1575
2207,15,36,1607
2306,16,38,1706
2341,13,39,1741
2428,17,40,1228
2613,21,43,1413
2722,20,45,1522
2741,19,45,1541
2814,18,46,1614
2877,22,47,1677
2994,24,49,1794
3022,23,50,1822
3138,25,52,1338
3218,30,53,1418
3261,26,54,1461
3302,27,55,1502
3352,29,55,1552
3390,32,56,1590
3437,28,57,1637
3582,31,59,1782
3729,35,62,1329
3755,36,62,1355
3780,33,63,1380
3841,34,64,1441
4016,39,66,1616
4127,38,68,1727
4215,37,70,1815
4316,40,71,1916
4384,41,73,1384
4545,44,75,1545
4553,43,75,1553
4651,42,77,1651
4741,45,79,1741
4832,48,80,1832
4985,46,83,1985
5011,47,83,2011
5077,49,84,1477
5092,51,84,1492
5367,50,89,1767
5377,54,89,1777
5393,53,89,1793
5446,52,90,1846
5629,57,93,2029
5636,55,93,2036
5671,56,94,1471
5755,60,95,1555
5888,58,98,1688
5914,62,98,1714
5945,59,99,1745
5963,64,99,1763
6061,65,101,1861
6089,63,101,1889
6210,61,103,1410
6269,68,104,1469
6306,66,105,1506
6345,67,105,1545
6494,69,108,1694
6635,70,110,1835
6655,72,110,1855
6741,71,112,1941
6783,73,113,1383
6907,74,115,1507
6921,75,115,1521
7034,76,117,1634
7074,77,117,1674
7204,79,120,1804
7228,80,120,1828
7271,78,121,1871
7333,81,122,1333
7453,82,124,1453
7494,84,124,1494
7529,85,125,1529
7555,83,125,1555
7603,86,126,1603
7656,87,127,1656
7790,90,129,1790
7881,89,131,1281
7881,91,131,1281
7939,88,132,1339
7976,92,132,1376
8070,96,134,1470
8217,93,136,1617
8265,95,137,1665
8288,94,138,1688
8491,98,141,1291
8664,99,144,1464
8684,101,144,1484
8726,97,145,1526
8770,100,146,1570
8887,103,148,1687
9080,104,151,1880
9114,102,151,1914
9168,108,152,1368
9206,105,153,1406
9251,106,154,1451
9441,110,157,1641
9492,109,158,1692
9579,112,159,1779
9607,107,160,1807
9699,114,161,1899
9743,111,162,1343
9771,115,162,1371
9784,113,163,1384
10009,119,166,1609
10083,118,168,1683
10131,116,168,1731
10188,117,169,1788
10303,120,171,1903
10308,121,171,1308
10387,122,173,1387
10420,124,173,1420
10471,125,174,1471
10510,127,175,1510
10555,123,175,1555
10561,126,176,1561
10883,130,181,1883
10905,128,181,1305
10944,129,182,1344
10997,132,183,1397
11039,135,183,1439
11094,133,184,1494
11134,131,185,1534
11161,136,186,1561
11173,134,186,1573
11531,137,192,1331
11641,138,194,1441
11732,139,195,1532
11766,142,196,1566
11778,141,196,1578
11788,140,196,1588
11952,143,199,1752
12018,144,200,1818
12022,146,200,1222
12047,145,200,1247
12194,148,203,1394
12291,147,204,1491
12334,149,205,1534
12354,150,205,1554
12542,151,209,1742
12561,152,209,1761
12827,156,213,1427
12837,155,213,1437
12855,154,214,1455
12937,158,215,1537
12967,153,216,1567
12987,157,216,1587
13219,159,220,1819
13326,160,222,1926
13358,162,222,1358
13443,163,224,1443
13483,161,224,1483
13541,164,225,1541
13604,165,226,1604
13625,167,227,1625
13645,166,227,1645
13704,168,228,1704
13795,170,229,1195
14038,172,233,1438
14252,169,237,1652
14267,173,237,1667
14308,174,238,1708
14326,171,238,1726
14413,175,240,1813
14599,179,243,1999
14668,176,244,1468
14682,178,244,1482
14760,177,246,1560
14771,181,246,1571
14801,180,246,1601
14900,184,248,1700
15014,183,250,1814
15071,185,251,1871
15206,182,253,1406
15404,189,256,1604
15438,188,257,1638
15450,191,257,1650
15478,186,257,1678
15573,190,259,1773
15641,187,260,1841
15653,192,260,1853
15778,194,262,1378
15818,195,263,1418
15854,193,264,1454
15901,196,265,1501
15924,198,265,1524
16008,199,266,1608
16111,197,268,1711
16200,200,270,1800
16352,201,272,1352
16540,203,275,1540
16562,205,276,1562
16570,202,276,1570
16579,204,276,1579
16714,208,278,1714
16780,206,279,1780
16843,207,280,1843
16868,209,281,1268
16895,213,281,1295
16948,210,282,1348
17053,212,284,1453
17086,211,284,1486
17097,214,284,1497
17288,215,288,1688
17344,216,289,1744
17487,219,291,1287
17654,218,294,1454
17667,221,294,1467
17674,220,294,1474
17730,217,295,1530
17930,223,298,1730
17933,222,298,1733
17962,224,299,1762
18136,227,302,1336
18275,226,304,1475
18307,225,305,1507
18326,229,305,1526
18468,228,307,1668
18553,230,309,1753
18647,232,310,1847
18696,231,311,1896
18764,233,312,1364
18770,235,312,1370
18861,234,314,1461
19009,239,316,1609
19016,238,316,1616
19120,236,318,1720
19310,237,321,1910
19351,242,322,1951
19474,241,324,1474
19475,240,324,1475
19640,243,327,1640
19653,244,327,1653
19677,246,327,1677
19726,245,328,1726
19795,247,329,1795
19820,249,330,1820
19925,248,332,1325
19968,252,332,1368
20101,251,335,1501
20115,250,335,1515
20120,253,335,1520
20225,254,337,1625
20278,255,337,1678
20499,256,341,1899
20565,258,342,1365
20662,259,344,1462
20832,257,347,1632
20918,260,348,1718
20918,261,348,1718
20964,263,349,1764
21017,262,350,1817
21079,265,351,1879
21156,264,352,1356
21201,266,353,1401
21308,269,355,1508
21336,268,355,1536
21373,270,356,1573
21470,267,357,1670
21485,271,358,1685
21500,272,358,1700
21622,275,360,1222
21717,274,361,1317
21797,273,363,1397
21975,278,366,1575
21980,277,366,1580
22006,279,366,1606
22020,280,367,1620
22125,276,368,1725
22319,281,371,1319
22377,284,372,1377
22482,282,374,1482
22506,283,375,1506
22591,286,376,1591
22654,287,377,1654
22688,285,378,1688
22874,290,381,1874
22901,288,381,1301
22957,289,382,1357
23003,293,383,1403
23022,295,383,1422
23146,291,385,1546
23176,294,386,1576
23432,292,390,1832
23449,296,390,1849
23532,298,392,1332
23626,300,393,1426
23666,297,394,1466
23742,299,395,1542
23807,303,396,1607
23840,302,397,1640
23893,301,398,1693
23976,304,399,1776
24206,308,403,1406
24223,305,403,1423
24286,306,404,1486
