Time,object,time in min,Total time spent
24344,310,405,1544
24347,307,405,1547
24490,309,408,1690
24634,311,410,1834
24658,313,410,1858
24715,312,411,1315
24742,314,412,1342
24797,315,413,1397
24802,316,413,1402
24886,320,414,1486
24921,317,415,1521
24957,319,415,1557
24982,318,416,1582
25282,321,421,1282
25460,323,424,1460
25533,324,425,1533
25554,322,425,1554
25560,325,426,1560
25633,327,427,1633
25706,326,428,1706
25711,328,428,1711
25934,329,432,1334
26066,331,434,1466
26100,332,435,1500
26101,333,435,1501
26111,330,435,1511
26273,335,437,1673
26331,334,438,1731
26452,336,440,1852
26502,337,441,1302
26523,339,442,1323
26536,341,442,1336
26652,338,444,1452
26667,340,444,1467
26686,343,444,1486
26793,342,446,1593
26943,344,449,1743
27084,345,451,1284
27204,346,453,1404
27280,350,454,1480
27306,347,455,1506
27387,349,456,1587
27528,352,458,1728
27574,351,459,1774
27689,348,461,1889
27776,353,462,1376
27832,356,463,1432
27855,357,464,1455
27902,358,465,1502
27933,359,465,1533
27949,354,465,1549
28087,355,468,1687
28327,361,472,1927
28355,360,472,1355
28513,362,475,1513
28524,363,475,1524
28692,364,478,1692
