Time,object,time in min,Total time spent
1261,1,21,1261
1283,2,21,1283
1381,4,23,1381
1425,5,23,1425
1495,3,24,1495
1524,9,25,1524
1630,6,27,1630
1771,7,29,1771
1792,8,29,1792
1844,11,30,1844
1889,12,31,1889
1969,13,32,1969
2075,10,34,2075
2081,15,34,2081
2139,14,35,1539
2191,16,36,1591
2261,19,37,1661
2293,17,38,1693
2392,21,39,1792
2396,18,39,1796
2664,20,44,2064
2703,23,45,2103
2705,22,45,2105
2706,24,45,2106
2861,30,47,2261
2874,26,47,2274
2880,28,48,2280
2949,25,49,2349
3041,32,50,1841
3081,29,51,1881
3083,27,51,1883
3162,31,52,1962
3182,34,53,1982
3327,33,55,2127
3334,36,55,2134
3372,35,56,2172
3516,40,58,2316
3556,37,59,2356
3741,41,62,2541
3756,38,62,2556
3778,39,62,2578
3989,42,66,2789
4084,44,68,2284
4135,45,68,2335
4235,43,70,2435
4362,49,72,2562
4409,46,73,2609
4443,48,74,2643
4500,50,75,2700
4582,47,76,2782
4741,52,79,2941
4773,53,79,2973
4815,54,80,3015
4964,51,82,3164
5091,56,84,3291
5145,55,85,3345
5205,58,86,2805
5262,57,87,2862
5302,59,88,2902
5371,61,89,2971
5483,63,91,3083
5484,64,91,3084
5530,65,92,3130
5537,62,92,3137
5621,60,93,3221
5718,66,95,3318
5752,69,95,3352
5791,68,96,3391
6005,67,100,3605
6065,70,101,3665
6093,71,101,3093
6094,72,101,3094
6193,73,103,3193
6336,75,105,3336
6337,74,105,3337
6405,76,106,3405
6479,77,107,3479
6526,78,108,3526
6670,79,111,3670
6686,80,111,3686
6758,81,112,3758
6801,82,113,3801
6850,85,114,3850
6880,84,114,3880
6957,87,115,3357
6960,83,116,3360
7026,88,117,3426
7058,86,117,3458
7119,93,118,3519
7183,94,119,3583
7213,89,120,3613
7227,91,120,3627
7328,90,122,3728
7379,92,122,3779
7485,97,124,3885
7548,96,125,3948
7598,95,126,3998
7704,101,128,4104
7761,98,129,3561
7880,102,131,3680
7925,100,132,3725
7953,99,132,3753
7983,103,133,3783
8005,104,133,3805
8195,108,136,3995
8322,105,138,4122
8375,110,139,4175
8386,106,139,4186
8401,107,140,4201
8539,109,142,4339
8590,113,143,4390
8681,114,144,4481
8712,111,145,3912
8757,116,145,3957
8940,112,149,4140
8986,117,149,4186
9064,115,151,4264
9080,119,151,4280
9135,121,152,4335
9189,118,153,4389
9201,123,153,4401
9270,120,154,4470
9325,126,155,4525
9372,124,156,4572
9385,122,156,4585
9430,129,157,4630
9509,125,158,4109
9610,128,160,4210
9625,131,160,4225
9637,132,160,4237
9735,130,162,4335
9808,135,163,4408
9812,127,163,4412
9836,133,163,4436
9901,134,165,4501
9930,137,165,4530
10018,136,166,4618
10053,140,167,4653
10090,143,168,4690
10098,138,168,4698
10185,142,169,4185
10233,141,170,4233
10268,139,171,4268
10315,144,171,4315
10364,148,172,4364
10399,147,173,4399
10411,146,173,4411
10446,145,174,4446
10563,150,176,4563
10596,151,176,4596
10657,152,177,4657
10713,149,178,4713
10770,153,179,4770
10787,155,179,4787
10866,154,181,4266
10914,156,181,4314
11022,159,183,4422
11083,157,184,4483
11158,158,185,4558
11168,161,186,4568
11172,160,186,4572
11276,162,187,4676
11442,166,190,4842
11475,163,191,4875
11496,165,191,4896
11520,164,192,4920
11614,168,193,5014
11663,169,194,5063
11667,167,194,4467
11789,171,196,4589
11851,170,197,4651
11907,172,198,4707
11957,173,199,4757
11975,177,199,4775
12090,175,201,4890
12095,176,201,4895
12117,174,201,4917
12310,181,205,5110
12404,178,206,5204
12514,180,208,5314
12522,179,208,5322
12530,182,208,5330
12633,183,210,4833
12803,186,213,5003
12847,187,214,5047
12889,185,214,5089
12998,189,216,5198
13041,184,217,5241
13104,188,218,5304
13170,190,219,5370
13269,192,221,5469
13347,193,222,5547
13367,194,222,5567
13402,191,223,5602
13454,198,224,5654
13541,199,225,5741
13577,197,226,5177
13621,200,227,5221
13640,196,227,5240
13736,195,228,5336
13840,201,230,5440
13878,202,231,5478
13996,203,233,5596
14017,204,233,5617
14143,208,235,5743
14236,207,237,5836
14347,205,239,5947
14353,212,239,5953
14354,206,239,5954
14447,209,240,6047
14479,210,241,5479
14513,211,241,5513
14524,213,242,5524
14617,215,243,5617
14628,214,243,5628
14715,216,245,5715
14723,218,245,5723
14789,220,246,5789
14796,217,246,5796
14891,219,248,5891
14917,222,248,5917
15007,221,250,6007
15018,225,250,6018
15165,226,252,6165
15185,223,253,5585
15197,224,253,5597
15257,227,254,5657
15379,228,256,5779
15510,231,258,5910
15556,229,259,5956
15591,230,259,5991
15607,232,260,6007
15746,236,262,6146
15758,235,262,6158
15796,234,263,6196
15858,233,264,6258
15999,237,266,6399
16101,239,268,6501
16214,238,270,6014
16245,240,270,6045
16359,241,272,6159
16365,242,272,6165
16657,245,277,6457
16666,243,277,6466
16670,244,277,6470
16777,247,279,6577
16813,249,280,6613
16831,246,280,6631
16862,250,281,6662
17004,248,283,6804
17039,251,283,6839
17121,254,285,6921
17131,255,285,6331
17259,252,287,6459
17281,253,288,6481
17311,256,288,6511
17436,257,290,6636
17466,259,291,6666
17479,258,291,6679
17517,263,291,6717
17657,262,294,6857
17676,260,294,6876
17752,261,295,6952
17876,264,297,7076
17877,267,297,7077
17930,265,298,7130
18040,268,300,6640
18155,270,302,6755
18171,266,302,6771
18228,269,303,6828
18282,272,304,6882
18349,273,305,6949
18350,274,305,6950
18404,271,306,7004
18510,278,308,7110
18522,277,308,7122
18646,275,310,7246
18691,279,311,7291
18714,276,311,7314
18783,282,313,7383
18797,280,313,6797
18884,281,314,6884
18995,284,316,6995
19060,286,317,7060
19061,283,317,7061
19119,285,318,7119
19154,287,319,7154
19245,288,320,7245
19419,290,323,7419
19456,291,324,7456
19460,292,324,7460
19505,289,325,7505
19598,294,326,7598
19614,295,326,7614
19655,293,327,7055
19758,296,329,7158
19783,299,329,7183
19813,297,330,7213
19848,298,330,7248
19936,302,332,7336
20083,300,334,7483
20172,305,336,7572
20207,304,336,7607
20210,303,336,7610
20362,306,339,7762
20373,301,339,7773
20459,307,340,7859
