Time,object,time in min,Total time spent
20473,310,341,7873
20512,312,341,7312
20519,308,341,7319
20561,309,342,7361
20640,314,344,7440
20761,316,346,7561
20830,315,347,7630
20840,311,347,7640
20855,318,347,7655
20919,313,348,7719
21054,321,350,7854
21079,320,351,7879
21089,317,351,7889
21180,319,353,7980
21250,323,354,8050
21322,322,355,7522
21408,324,356,7608
21539,328,358,7739
21539,326,358,7739
21574,325,359,7774
21580,327,359,7780
21666,332,361,7866
21730,329,362,7930
21743,331,362,7943
21757,330,362,7957
22007,334,366,8207
22126,336,368,8326
22154,333,369,8354
22302,338,371,8502
22340,337,372,7940
22374,335,372,7974
22484,341,374,8084
22497,339,374,8097
22546,340,375,8146
22628,344,377,8228
22652,342,377,8252
22704,345,378,8304
22796,343,379,8396
22884,348,381,8484
22889,346,381,8489
22923,352,382,8523
22932,349,382,8532
23048,347,384,8648
23103,351,385,8103
23116,353,385,8116
23163,350,386,8163
23243,355,387,8243
23289,354,388,8289
23333,356,388,8333
23399,359,389,8399
23467,358,391,8467
23608,361,393,8608
23619,357,393,8619
23671,360,394,8671
23770,364,396,8770
23785,362,396,8785
23842,365,397,8842
23868,367,397,8268
23938,369,398,8338
23950,366,399,8350
24071,363,401,8471
24220,368,403,8620
24428,370,407,8828
24442,371,407,8842
24452,372,407,8852
24463,373,407,8863
24574,374,409,8974
24634,377,410,9034
24647,378,410,9047
24682,375,411,9082
24880,381,414,9280
24900,376,415,8700
24982,379,416,8782
25045,384,417,8845
25049,380,417,8849
25188,383,419,8988
25196,386,419,8996
25223,382,420,9023
25279,385,421,9079
25326,390,422,9126
25361,389,422,9161
25456,388,424,9256
25481,387,424,9281
25615,392,426,9415
25660,391,427,9460
25718,395,428,8918
25782,393,429,8982
25919,394,431,9119
25959,398,432,9159
25964,396,432,9164
26088,400,434,9288
26116,397,435,9316
26130,403,435,9330
26161,399,436,9361
26255,404,437,9455
26343,402,439,9543
26395,401,439,9595
26509,407,441,9709
26515,408,441,9715
26540,405,442,9140
26591,406,443,9191
26687,409,444,9287
26786,411,446,9386
26828,410,447,9428
26848,412,447,9448
26876,415,447,9476
26994,414,449,9594
27015,419,450,9615
27019,413,450,9619
27136,416,452,9736
27180,418,453,9780
27198,417,453,9798
27220,420,453,9820
27320,423,455,9320
27365,422,456,9365
27393,424,456,9393
27438,421,457,9438
27476,425,457,9476
27579,429,459,9579
27583,428,459,9583
27616,431,460,9616
27636,426,460,9636
27792,427,463,9792
27807,434,463,9807
27820,430,463,9820
27885,435,464,9885
27952,433,465,9952
27958,436,465,9358
27986,432,466,9386
28118,437,468,9518
28128,438,468,9528
28137,440,468,9537
28296,441,471,9696
28336,439,472,9736
28359,443,472,9759
28553,442,475,9953
28576,446,476,9976
28578,447,476,9978
28586,445,476,9986
28684,444,478,10084
28752,448,479,10152
28788,450,479,9588
