Time,object,time in min,time spent
0.0,1.0,0.0,0.0
7.0,2.0,0.11666666666666667,7.0
18.0,3.0,0.3,18.0
20.0,4.0,0.3333333333333333,20.0
53.0,5.0,0.8833333333333333,53.0
98.0,6.0,1.6333333333333333,98.0
117.0,7.0,1.95,117.0
140.0,8.0,2.3333333333333335,140.0
171.0,9.0,2.85,171.0
217.0,10.0,3.6166666666666667,217.0
600.0,11.0,10.0,0.0
606.0,12.0,10.1,6.0
611.0,13.0,10.183333333333334,11.0
614.0,14.0,10.233333333333333,14.0
647.0,15.0,10.783333333333333,47.0
682.0,16.0,11.366666666666667,82.0
683.0,17.0,11.383333333333333,83.0
717.0,18.0,11.95,117.0
750.0,19.0,12.5,150.0
764.0,20.0,12.733333333333333,164.0
1200.0,21.0,20.0,0.0
1207.0,22.0,20.116666666666667,7.0
1226.0,23.0,20.433333333333334,26.0
1240.0,24.0,20.666666666666668,40.0
1275.0,25.0,21.25,75.0
1309.0,26.0,21.816666666666666,109.0
1359.0,27.0,22.65,159.0
1387.0,28.0,23.116666666666667,187.0
1392.0,29.0,23.2,192.0
1434.0,30.0,23.9,234.0
1800.0,31.0,30.0,0.0
1806.0,32.0,30.1,6.0
1815.0,33.0,30.25,15.0
1848.0,34.0,30.8,48.0
1880.0,35.0,31.333333333333332,80.0
1916.0,36.0,31.933333333333334,116.0
1942.0,37.0,32.36666666666667,142.0
1970.0,38.0,32.833333333333336,170.0
2015.0,39.0,33.583333333333336,215.0
2097.0,40.0,34.95,297.0
2400.0,41.0,40.0,0.0
2410.0,42.0,40.166666666666664,10.0
2420.0,43.0,40.333333333333336,20.0
2448.0,44.0,40.8,48.0
2454.0,45.0,40.9,54.0
2468.0,46.0,41.13333333333333,68.0
2499.0,47.0,41.65,99.0
2620.0,48.0,43.666666666666664,220.0
2656.0,49.0,44.266666666666666,256.0
2699.0,50.0,44.983333333333334,299.0
3000.0,51.0,50.0,0.0
3010.0,52.0,50.166666666666664,10.0
3154.0,53.0,52.56666666666667,154.0
3218.0,54.0,53.63333333333333,218.0
3308.0,55.0,55.13333333333333,308.0
3310.0,56.0,55.166666666666664,310.0
3356.0,57.0,55.93333333333333,356.0
3409.0,58.0,56.81666666666667,409.0
3456.0,59.0,57.6,456.0
3509.0,60.0,58.483333333333334,509.0
3685.0,61.0,61.416666666666664,85.0
3835.0,62.0,63.916666666666664,235.0
3854.0,63.0,64.23333333333333,254.0
3891.0,64.0,64.85,291.0
3893.0,65.0,64.88333333333334,293.0
3895.0,66.0,64.91666666666667,295.0
4012.0,67.0,66.86666666666666,412.0
4129.0,68.0,68.81666666666666,529.0
4171.0,69.0,69.51666666666667,571.0
4212.0,70.0,70.2,612.0
4242.0,71.0,70.7,42.0
4350.0,72.0,72.5,150.0
4374.0,73.0,72.9,174.0
4448.0,74.0,74.13333333333334,248.0
4488.0,75.0,74.8,288.0
4512.0,76.0,75.2,312.0
4533.0,77.0,75.55,333.0
4697.0,78.0,78.28333333333333,497.0
4723.0,79.0,78.71666666666667,523.0
4770.0,80.0,79.5,570.0
4833.0,81.0,80.55,33.0
4974.0,82.0,82.9,174.0
5002.0,83.0,83.36666666666666,202.0
5112.0,84.0,85.2,312.0
5164.0,85.0,86.06666666666666,364.0
5237.0,86.0,87.28333333333333,437.0
5304.0,87.0,88.4,504.0
5361.0,88.0,89.35,561.0
5443.0,89.0,90.71666666666667,643.0
5481.0,90.0,91.35,681.0
5546.0,91.0,92.43333333333334,146.0
5623.0,92.0,93.71666666666667,223.0
5674.0,93.0,94.56666666666666,274.0
5714.0,94.0,95.23333333333333,314.0
5773.0,95.0,96.21666666666667,373.0
5827.0,96.0,97.11666666666666,427.0
5851.0,97.0,97.51666666666667,451.0
5852.0,98.0,97.53333333333333,452.0
5938.0,99.0,98.96666666666667,538.0
5982.0,100.0,99.7,582.0
6027.0,101.0,100.45,27.0
6060.0,102.0,101.0,60.0
6115.0,103.0,101.91666666666667,115.0
6152.0,104.0,102.53333333333333,152.0
6193.0,105.0,103.21666666666667,193.0
6274.0,106.0,104.56666666666666,274.0
6354.0,107.0,105.9,354.0
6390.0,108.0,106.5,390.0
6479.0,109.0,107.98333333333333,479.0
6587.0,110.0,109.78333333333333,587.0
6625.0,111.0,110.41666666666667,25.0
6662.0,112.0,111.03333333333333,62.0
6770.0,113.0,112.83333333333333,170.0
6847.0,114.0,114.11666666666666,247.0
6875.0,115.0,114.58333333333333,275.0
6948.0,116.0,115.8,348.0
6983.0,117.0,116.38333333333334,383.0
7165.0,118.0,119.41666666666667,565.0
7337.0,119.0,122.28333333333333,737.0
7363.0,120.0,122.71666666666667,763.0
7389.0,121.0,123.15,189.0
7415.0,122.0,123.58333333333333,215.0
7470.0,123.0,124.5,270.0
7525.0,124.0,125.41666666666667,325.0
7584.0,125.0,126.4,384.0
7700.0,126.0,128.33333333333334,500.0
7778.0,127.0,129.63333333333333,578.0
7833.0,128.0,130.55,633.0
7944.0,129.0,132.4,744.0
7984.0,130.0,133.06666666666666,784.0
8022.0,131.0,133.7,222.0
8080.0,132.0,134.66666666666666,280.0
8124.0,133.0,135.4,324.0
8221.0,134.0,137.01666666666668,421.0
8248.0,135.0,137.46666666666667,448.0
8287.0,136.0,138.11666666666667,487.0
8325.0,137.0,138.75,525.0
8430.0,138.0,140.5,630.0
8500.0,139.0,141.66666666666666,700.0
8531.0,140.0,142.18333333333334,731.0
8554.0,141.0,142.56666666666666,154.0
8590.0,142.0,143.16666666666666,190.0
8621.0,143.0,143.68333333333334,221.0
8689.0,144.0,144.81666666666666,289.0
8725.0,145.0,145.41666666666666,325.0
8736.0,146.0,145.6,336.0
8850.0,147.0,147.5,450.0
8919.0,148.0,148.65,519.0
8934.0,149.0,148.9,534.0
9012.0,150.0,150.2,612.0
9040.0,151.0,150.66666666666666,40.0
9061.0,152.0,151.01666666666668,61.0
9062.0,153.0,151.03333333333333,62.0
9094.0,154.0,151.56666666666666,94.0
9188.0,155.0,153.13333333333333,188.0
9236.0,156.0,153.93333333333334,236.0
9257.0,157.0,154.28333333333333,257.0
9289.0,158.0,154.81666666666666,289.0
9325.0,159.0,155.41666666666666,325.0
9404.0,160.0,156.73333333333332,404.0
9600.0,161.0,160.0,0.0
9643.0,162.0,160.71666666666667,43.0
9729.0,163.0,162.15,129.0
9777.0,164.0,162.95,177.0
9784.0,165.0,163.06666666666666,184.0
9854.0,166.0,164.23333333333332,254.0
9957.0,167.0,165.95,357.0
9979.0,168.0,166.31666666666666,379.0
10053.0,169.0,167.55,453.0
10126.0,170.0,168.76666666666668,526.0
10200.0,171.0,170.0,0.0
10215.0,172.0,170.25,15.0
10389.0,173.0,173.15,189.0
10439.0,174.0,173.98333333333332,239.0
10485.0,175.0,174.75,285.0
10589.0,176.0,176.48333333333332,389.0
10595.0,177.0,176.58333333333334,395.0
10618.0,178.0,176.96666666666667,418.0
10649.0,179.0,177.48333333333332,449.0
10675.0,180.0,177.91666666666666,475.0
10800.0,181.0,180.0,0.0
10841.0,182.0,180.68333333333334,41.0
10869.0,183.0,181.15,69.0
10905.0,184.0,181.75,105.0
11025.0,185.0,183.75,225.0
11064.0,186.0,184.4,264.0
11068.0,187.0,184.46666666666667,268.0
11092.0,188.0,184.86666666666667,292.0
11251.0,189.0,187.51666666666668,451.0
11330.0,190.0,188.83333333333334,530.0
11435.0,191.0,190.58333333333334,35.0
11500.0,192.0,191.66666666666666,100.0
11573.0,193.0,192.88333333333333,173.0
11607.0,194.0,193.45,207.0
11764.0,195.0,196.06666666666666,364.0
11801.0,196.0,196.68333333333334,401.0
11891.0,197.0,198.18333333333334,491.0
11923.0,198.0,198.71666666666667,523.0
11956.0,199.0,199.26666666666668,556.0
12028.0,200.0,200.46666666666667,628.0
12103.0,201.0,201.71666666666667,103.0
12227.0,202.0,203.78333333333333,227.0
12259.0,203.0,204.31666666666666,259.0
12297.0,204.0,204.95,297.0
12321.0,205.0,205.35,321.0
12322.0,206.0,205.36666666666667,322.0
12467.0,207.0,207.78333333333333,467.0
12495.0,208.0,208.25,495.0
12542.0,209.0,209.03333333333333,542.0
12587.0,210.0,209.78333333333333,587.0
12600.0,211.0,210.0,0.0
12729.0,212.0,212.15,129.0
12764.0,213.0,212.73333333333332,164.0
12843.0,214.0,214.05,243.0
12880.0,215.0,214.66666666666666,280.0
13059.0,216.0,217.65,459.0
13128.0,217.0,218.8,528.0
13194.0,218.0,219.9,594.0
13221.0,219.0,220.35,621.0
13249.0,220.0,220.81666666666666,649.0
13284.0,221.0,221.4,84.0
13410.0,222.0,223.5,210.0
13430.0,223.0,223.83333333333334,230.0
13458.0,224.0,224.3,258.0
13487.0,225.0,224.78333333333333,287.0
13578.0,226.0,226.3,378.0
13662.0,227.0,227.7,462.0
13693.0,228.0,228.21666666666667,493.0
13707.0,229.0,228.45,507.0
