Time,object,time in min,time spent
0.0,1.0,0.0,0.0
7.0,2.0,0.11666666666666667,7.0
18.0,3.0,0.3,18.0
20.0,4.0,0.3333333333333333,20.0
53.0,5.0,0.8833333333333333,53.0
98.0,6.0,1.6333333333333333,98.0
117.0,7.0,1.95,117.0
140.0,8.0,2.3333333333333335,140.0
600.0,9.0,10.0,0.0
607.0,10.0,10.116666666666667,7.0
618.0,11.0,10.3,18.0
624.0,12.0,10.4,24.0
652.0,13.0,10.866666666666667,52.0
654.0,14.0,10.9,54.0
673.0,15.0,11.216666666666667,73.0
707.0,16.0,11.783333333333333,107.0
1200.0,17.0,20.0,0.0
1213.0,18.0,20.216666666666665,13.0
1227.0,19.0,20.45,27.0
1240.0,20.0,20.666666666666668,40.0
1276.0,21.0,21.266666666666666,76.0
1296.0,22.0,21.6,96.0
1325.0,23.0,22.083333333333332,125.0
1351.0,24.0,22.516666666666666,151.0
1800.0,25.0,30.0,0.0
1811.0,26.0,30.183333333333334,11.0
1821.0,27.0,30.35,21.0
1847.0,28.0,30.783333333333335,47.0
1851.0,29.0,30.85,51.0
1872.0,30.0,31.2,72.0
1885.0,31.0,31.416666666666668,85.0
1911.0,32.0,31.85,111.0
2400.0,33.0,40.0,0.0
2412.0,34.0,40.2,12.0
2427.0,35.0,40.45,27.0
2456.0,36.0,40.93333333333333,56.0
2482.0,37.0,41.36666666666667,82.0
2504.0,38.0,41.733333333333334,104.0
2549.0,39.0,42.483333333333334,149.0
2575.0,40.0,42.916666666666664,175.0
3000.0,41.0,50.0,0.0
3010.0,42.0,50.166666666666664,10.0
3020.0,43.0,50.333333333333336,20.0
3048.0,44.0,50.8,48.0
3054.0,45.0,50.9,54.0
3068.0,46.0,51.13333333333333,68.0
3092.0,47.0,51.53333333333333,92.0
3128.0,48.0,52.13333333333333,128.0
3600.0,49.0,60.0,0.0
3617.0,50.0,60.28333333333333,17.0
3625.0,51.0,60.416666666666664,25.0
3671.0,52.0,61.18333333333333,71.0
3713.0,53.0,61.88333333333333,113.0
3736.0,54.0,62.266666666666666,136.0
3780.0,55.0,63.0,180.0
3782.0,56.0,63.03333333333333,182.0
4200.0,57.0,70.0,0.0
4205.0,58.0,70.08333333333333,5.0
4220.0,59.0,70.33333333333333,20.0
4285.0,60.0,71.41666666666667,85.0
4291.0,61.0,71.51666666666667,91.0
4312.0,62.0,71.86666666666666,112.0
4330.0,63.0,72.16666666666667,130.0
4367.0,64.0,72.78333333333333,167.0
4800.0,65.0,80.0,0.0
4800.0,66.0,80.0,0.0
4813.0,67.0,80.21666666666667,13.0
4815.0,68.0,80.25,15.0
4847.0,69.0,80.78333333333333,47.0
4871.0,70.0,81.18333333333334,71.0
4877.0,71.0,81.28333333333333,77.0
4915.0,72.0,81.91666666666667,115.0
5400.0,73.0,90.0,0.0
5412.0,74.0,90.2,12.0
5418.0,75.0,90.3,18.0
5435.0,76.0,90.58333333333333,35.0
5482.0,77.0,91.36666666666666,82.0
5485.0,78.0,91.41666666666667,85.0
5510.0,79.0,91.83333333333333,110.0
5543.0,80.0,92.38333333333334,143.0
6000.0,81.0,100.0,0.0
6007.0,82.0,100.11666666666666,7.0
6022.0,83.0,100.36666666666666,22.0
6037.0,84.0,100.61666666666666,37.0
6043.0,85.0,100.71666666666667,43.0
6058.0,86.0,100.96666666666667,58.0
6076.0,87.0,101.26666666666667,76.0
6114.0,88.0,101.9,114.0
6600.0,89.0,110.0,0.0
6607.0,90.0,110.11666666666666,7.0
6635.0,91.0,110.58333333333333,35.0
6643.0,92.0,110.71666666666667,43.0
6680.0,93.0,111.33333333333333,80.0
6703.0,94.0,111.71666666666667,103.0
6747.0,95.0,112.45,147.0
6774.0,96.0,112.9,174.0
7200.0,97.0,120.0,0.0
7200.0,98.0,120.0,0.0
7212.0,99.0,120.2,12.0
7245.0,100.0,120.75,45.0
7249.0,101.0,120.81666666666666,49.0
7286.0,102.0,121.43333333333334,86.0
7334.0,103.0,122.23333333333333,134.0
7368.0,104.0,122.8,168.0
7800.0,105.0,130.0,0.0
7816.0,106.0,130.26666666666668,16.0
7825.0,107.0,130.41666666666666,25.0
7828.0,108.0,130.46666666666667,28.0
7860.0,109.0,131.0,60.0
7882.0,110.0,131.36666666666667,82.0
7913.0,111.0,131.88333333333333,113.0
7936.0,112.0,132.26666666666668,136.0
8400.0,113.0,140.0,0.0
8413.0,114.0,140.21666666666667,13.0
8420.0,115.0,140.33333333333334,20.0
8446.0,116.0,140.76666666666668,46.0
8472.0,117.0,141.2,72.0
8475.0,118.0,141.25,75.0
8477.0,119.0,141.28333333333333,77.0
8496.0,120.0,141.6,96.0
9000.0,121.0,150.0,0.0
9012.0,122.0,150.2,12.0
9029.0,123.0,150.48333333333332,29.0
9049.0,124.0,150.81666666666666,49.0
9093.0,125.0,151.55,93.0
9098.0,126.0,151.63333333333333,98.0
9121.0,127.0,152.01666666666668,121.0
9151.0,128.0,152.51666666666668,151.0
9600.0,129.0,160.0,0.0
9605.0,130.0,160.08333333333334,5.0
9611.0,131.0,160.18333333333334,11.0
9617.0,132.0,160.28333333333333,17.0
9639.0,133.0,160.65,39.0
9678.0,134.0,161.3,78.0
9716.0,135.0,161.93333333333334,116.0
9741.0,136.0,162.35,141.0
10200.0,137.0,170.0,0.0
10210.0,138.0,170.16666666666666,10.0
10216.0,139.0,170.26666666666668,16.0
10220.0,140.0,170.33333333333334,20.0
10253.0,141.0,170.88333333333333,53.0
10284.0,142.0,171.4,84.0
10305.0,143.0,171.75,105.0
10342.0,144.0,172.36666666666667,142.0
10800.0,145.0,180.0,0.0
10810.0,146.0,180.16666666666666,10.0
10813.0,147.0,180.21666666666667,13.0
10820.0,148.0,180.33333333333334,20.0
10853.0,149.0,180.88333333333333,53.0
10859.0,150.0,180.98333333333332,59.0
10882.0,151.0,181.36666666666667,82.0
10903.0,152.0,181.71666666666667,103.0
11400.0,153.0,190.0,0.0
11413.0,154.0,190.21666666666667,13.0
11418.0,155.0,190.3,18.0
11455.0,156.0,190.91666666666666,55.0
11472.0,157.0,191.2,72.0
11503.0,158.0,191.71666666666667,103.0
11529.0,159.0,192.15,129.0
11565.0,160.0,192.75,165.0
12000.0,161.0,200.0,0.0
12003.0,162.0,200.05,3.0
12014.0,163.0,200.23333333333332,14.0
12045.0,164.0,200.75,45.0
12052.0,165.0,200.86666666666667,52.0
12083.0,166.0,201.38333333333333,83.0
12102.0,167.0,201.7,102.0
12121.0,168.0,202.01666666666668,121.0
12600.0,169.0,210.0,0.0
12611.0,170.0,210.18333333333334,11.0
12625.0,171.0,210.41666666666666,25.0
12656.0,172.0,210.93333333333334,56.0
12699.0,173.0,211.65,99.0
12706.0,174.0,211.76666666666668,106.0
12747.0,175.0,212.45,147.0
12785.0,176.0,213.08333333333334,185.0
13200.0,177.0,220.0,0.0
13216.0,178.0,220.26666666666668,16.0
13235.0,179.0,220.58333333333334,35.0
13236.0,180.0,220.6,36.0
13258.0,181.0,220.96666666666667,58.0
13302.0,182.0,221.7,102.0
13329.0,183.0,222.15,129.0
13366.0,184.0,222.76666666666668,166.0
13800.0,185.0,230.0,0.0
13804.0,186.0,230.06666666666666,4.0
13808.0,187.0,230.13333333333333,8.0
13843.0,188.0,230.71666666666667,43.0
13893.0,189.0,231.55,93.0
13909.0,190.0,231.81666666666666,109.0
13927.0,191.0,232.11666666666667,127.0
13961.0,192.0,232.68333333333334,161.0
14400.0,193.0,240.0,0.0
14406.0,194.0,240.1,6.0
14415.0,195.0,240.25,15.0
14437.0,196.0,240.61666666666667,37.0
14470.0,197.0,241.16666666666666,70.0
14496.0,198.0,241.6,96.0
14523.0,199.0,242.05,123.0
14553.0,200.0,242.55,153.0
15000.0,201.0,250.0,0.0
15019.0,202.0,250.31666666666666,19.0
15036.0,203.0,250.6,36.0
15037.0,204.0,250.61666666666667,37.0
15076.0,205.0,251.26666666666668,76.0
15078.0,206.0,251.3,78.0
15103.0,207.0,251.71666666666667,103.0
15151.0,208.0,252.51666666666668,151.0
15600.0,209.0,260.0,0.0
15609.0,210.0,260.15,9.0
15610.0,211.0,260.1666666666667,10.0
15653.0,212.0,260.8833333333333,53.0
15681.0,213.0,261.35,81.0
15718.0,214.0,261.96666666666664,118.0
15728.0,215.0,262.1333333333333,128.0
15732.0,216.0,262.2,132.0
16200.0,217.0,270.0,0.0
16210.0,218.0,270.1666666666667,10.0
16223.0,219.0,270.3833333333333,23.0
16228.0,220.0,270.46666666666664,28.0
16266.0,221.0,271.1,66.0
16295.0,222.0,271.5833333333333,95.0
16323.0,223.0,272.05,123.0
16347.0,224.0,272.45,147.0
16800.0,225.0,280.0,0.0
16805.0,226.0,280.0833333333333,5.0
16815.0,227.0,280.25,15.0
16839.0,228.0,280.65,39.0
16868.0,229.0,281.1333333333333,68.0
16906.0,230.0,281.76666666666665,106.0
